country_ISO_A2,summer_period,winter_period,dst,summer_diff_h,winter_diff_h
AT,05:56,08:09,True,3.0589506172222225,0.8357941833333334
BE,06:31,09:00,True,2.471296296111111,-0.015734526666666665
BG,06:26,08:17,True,2.5550411522222225,0.7068978372222222
CY,06:06,07:30,True,2.89845679,1.4835570469444443
CZ,05:47,08:10,True,3.200257201388889,0.8211036538888888
DE,06:02,08:35,True,2.9578446499999997,0.40947054416666673
DK,05:51,08:55,True,3.149305555555556,0.06860551805555555
EE,05:37,09:06,True,3.376028806388889,-0.10466070111111112
ES,07:14,08:56,True,1.7611368311111113,0.054884414444444446
FI,05:38,09:23,True,3.361908436111111,-0.3898583147222222
FR,06:44,08:50,True,2.251337448333333,0.16651752416666665
HR,06:01,08:01,True,2.9754372427777778,0.9752796419444445
HU,05:36,07:49,True,3.3948559669444447,1.1832587619444443
IE,06:09,08:53,True,2.846296296111111,0.11521252777777778
IT,06:19,08:11,True,2.668132715833333,0.8125279641666666
LT,06:04,09:00,True,2.9172067900000003,-0.014317673611111111
LU,06:29,08:51,True,2.509259259166667,0.13937360166666665
LV,05:58,09:04,True,3.0223251027777778,-0.07733035055555555
NL,06:29,09:05,True,2.510210905277778,-0.09470544388888888
PL,05:29,08:01,True,3.5159207816666664,0.9832960475
PT,06:49,08:28,True,2.177109053333333,0.522930648611111
RO,06:22,08:26,True,2.6282407405555555,0.562826248888889
SE,05:32,08:48,True,3.461779835277778,0.2
SI,06:00,08:07,True,2.985223765277778,0.8828299775
SK,05:36,07:53,True,3.386831275555556,1.1006711408333334
AT,04:56,07:09,False,4.058950617222222,1.8357941833333333
BE,05:31,08:00,False,3.471296296111111,0.9842654733333334
BG,05:26,07:17,False,3.5550411522222225,1.706897837222222
CY,05:06,06:30,False,3.89845679,2.4835570469444446
CZ,04:47,07:10,False,4.200257201388889,1.821103653888889
DE,05:02,07:35,False,3.9578446499999997,1.4094705441666666
DK,04:51,07:55,False,4.149305555555555,1.0686055180555556
EE,04:37,08:06,False,4.376028806388889,0.895339298888889
ES,06:14,07:56,False,2.761136831111111,1.0548844144444445
FI,04:38,08:23,False,4.361908436111111,0.6101416852777778
FR,05:44,07:50,False,3.251337448333333,1.1665175241666668
HR,05:01,07:01,False,3.9754372427777778,1.9752796419444443
HU,04:36,06:49,False,4.394855966944445,2.1832587619444443
IE,05:09,07:53,False,3.846296296111111,1.1152125277777778
IT,05:19,07:11,False,3.668132715833333,1.8125279641666667
LT,05:04,08:00,False,3.9172067900000003,0.9856823263888889
LU,05:29,07:51,False,3.509259259166667,1.1393736016666667
LV,04:58,08:04,False,4.022325102777778,0.9226696494444444
NL,05:29,08:05,False,3.510210905277778,0.9052945561111111
PL,04:29,07:01,False,4.515920781666666,1.9832960475
PT,05:49,07:28,False,3.1771090533333335,1.5229306486111112
RO,05:22,07:26,False,3.6282407405555555,1.5628262488888889
SE,04:32,07:48,False,4.461779835277778,1.2
SI,05:00,07:07,False,3.985223765277778,1.8828299775
SK,04:36,06:53,False,4.386831275555555,2.100671140833333
